,ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Citizenship,Age,Lifetime Days,Has Linkedin,City,Country,Industry,Interviewed,Pathfinder Assigned,Customer Call Status,Languages,Completeness,Cleaned Country,Country Code,Continent Code,Longitude,Latitude,Continent
1064,1065,RoomMaster,,Free Trial,Mid-career Leader,Corporate Partner,checked,male,,,61.0,,Nairobi,Kenya,,,,,,50.0,Kenya,KE,AF,38.4313975,1.4419683,Africa
1065,1066,RoomMaster,Joined post-Sprint - June,Premium Paying,Mid-career Leader,ALUSB 2016 Alumni ISA,checked,male,,,153.0,,,Namibia,,,checked,,,55.56,Namibia,,AF,17.3231107,-23.2335499,Africa
1066,1067,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,female,,,214.0,,Gaborone,Botswana,,,,Completed,,61.11,Botswana,BW,AF,24.5928742,-23.1681782,Africa
1067,1068,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,,,366.0,,Nairobi,Kenya,,,,None,,61.11,Kenya,KE,AF,38.4313975,1.4419683,Africa
1068,1069,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,,40-50,184.0,,Nairobi;Kigali,Kenya;Rwanda,,,checked,,English; French; Kinyarwanda; Swahili,72.22,Kenya;Rwanda,,,,,
1069,1070,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,,,214.0,,,Senegal,,,,None,,55.56,Senegal,SN,AF,-14.765340959100412,14.46517725,Africa
1070,1071,RoomMaster,,Free Trial,Mid-career Leader,Corporate Partner,checked,female,,,61.0,,,Kenya,,,,,,44.44,Kenya,KE,AF,38.4313975,1.4419683,Africa
1071,1072,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,,,214.0,,,United States of America,,,,None,,55.56,United States of America,US,,-100.4458825,39.7837304,North America
1072,1073,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Johannesburg,South Africa,,,,None,,61.11,South Africa,ZA,AF,24.991639,-28.8166236,Africa
1073,1074,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,,,214.0,,Bethesda,United States of America,,,,None,,61.11,United States of America,US,,-100.4458825,39.7837304,North America
